Database,Pathway,Observed_Overlap,Mean_Random_Overlap,Empirical_P_Value,FDR_q_val,Contributing_Proteins
GO_Biological_Process,GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_COMMUNICATION,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_ESTABLISHMENT_OF_SERTOLI_CELL_BARRIER,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_G_PROTEIN_COUPLED_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_MACROMOLECULE_DEACYLATION,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_MEMBRANE_REPOLARIZATION,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_MEMBRANE_REPOLARIZATION_DURING_ATRIAL_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_POTASSIUM_ION_TRANSPORT,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_PROTEIN_DEACETYLATION,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_PROTEIN_DEACYLATION,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_REGULATION_OF_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_REGULATION_OF_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_REGULATION_OF_MEMBRANE_REPOLARIZATION,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_REGULATION_OF_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_REGULATION_OF_MEMBRANE_REPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_REGULATION_OF_POTASSIUM_ION_TRANSPORT,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_RESPONSE_TO_MONOAMINE,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_SERTOLI_CELL_DEVELOPMENT,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_SERTOLI_CELL_DIFFERENTIATION,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_TRANSCRIPTION_BY_RNA_POLYMERASE_I,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_TUBULIN_DEACETYLATION,1,0.0299,0.029997000299970003,1.0,FLNA
GO_Biological_Process,GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE,2,0.2956,0.030496950304969503,1.0,"CD36, F2"
GO_Biological_Process,GOBP_BICARBONATE_TRANSPORT,1,0.0309,0.030996900309969003,1.0,SLC4A1
GO_Biological_Process,GOBP_LIPID_TRANSLOCATION,1,0.0309,0.030996900309969003,1.0,SLC4A1
