Database,Pathway,Observed_Overlap,Mean_Random_Overlap,Empirical_P_Value,FDR_q_val,Contributing_Proteins
GO_Biological_Process,GOBP_REGULATION_OF_GRANULOCYTE_CHEMOTAXIS,2,0.2993,0.0337966203379662,1.0,"BST1, LBP"
GO_Biological_Process,GOBP_AUTOPHAGOSOME_MATURATION,1,0.0341,0.0341965803419658,1.0,LAMP2
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,1,0.0341,0.0341965803419658,1.0,LAMP2
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_INFLAMMASOME_MEDIATED_SIGNALING_PATHWAY,1,0.0341,0.0341965803419658,1.0,LAMP2
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY,1,0.0341,0.0341965803419658,1.0,LAMP2
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_FERROPTOSIS,1,0.0341,0.0341965803419658,1.0,LAMP2
GO_Biological_Process,GOBP_CYTOSOLIC_TRANSPORT,1,0.0343,0.034396560343965606,1.0,LAMP1
GO_Biological_Process,GOBP_GOLGI_TO_LYSOSOME_TRANSPORT,1,0.0343,0.034396560343965606,1.0,LAMP1
GO_Biological_Process,GOBP_GOLGI_TO_VACUOLE_TRANSPORT,1,0.0343,0.034396560343965606,1.0,LAMP1
GO_Biological_Process,GOBP_GRANZYME_MEDIATED_PROGRAMMED_CELL_DEATH_SIGNALING_PATHWAY,1,0.0343,0.034396560343965606,1.0,LAMP1
GO_Biological_Process,GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE,1,0.0343,0.034396560343965606,1.0,LAMP1
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_DEGRANULATION,1,0.0343,0.034396560343965606,1.0,LAMP1
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,1,0.0343,0.034396560343965606,1.0,LAMP1
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,1,0.0343,0.034396560343965606,1.0,LAMP1
