Variable_A,Variable_B,n,df,r_rm,CI_95%,p_val,p_adj,is_significant
Trom,IFN-γ,20,39,0.12499999999999994,"[-0.19, 0.42]",0.4361566470231073,0.5679296819010217,False
Neutr,IFN-γ,20,39,0.12500000000000042,"[-0.19, 0.42]",0.4361566470231073,0.5679296819010217,False
Lymfos,IFN-γ,20,39,0.3270504935273079,"[0.02, 0.58]",0.036873221059371165,0.09759259705534165,False
Monos,IFN-γ,20,39,0.36478708893430484,"[0.06, 0.60]",0.019027549587246808,0.057603951490158144,False
Eosin,IFN-γ,20,39,0.3660701475689821,"[0.07, 0.61]",0.018579520445015502,0.057603951490158144,False
Basof,IFN-γ,20,39,0.13867504905630731,"[-0.18, 0.43]",0.38721332881620374,0.5329768662043333,False
Lactic acid,IFN-γ,20,39,0.3038218101250996,"[-0.00, 0.56]",0.0534618506757702,0.134262147719832,False
Leuk,VEGF-C,20,39,0.12500000000000008,"[-0.19, 0.42]",0.4361566470231073,0.5679296819010217,False
Eryt,VEGF-C,20,39,0.1761041118993196,"[-0.14, 0.46]",0.2707314445157677,0.4216630604396233,False
Hb,VEGF-C,20,39,0.13925166297400393,"[-0.18, 0.43]",0.38522309350838446,0.5329768662043333,False
HKR,VEGF-C,20,39,0.24227185592617503,"[-0.07, 0.51]",0.12696988548080568,0.2527958981194448,False
MCV,VEGF-C,20,39,0.19462473604038139,"[-0.12, 0.47]",0.22270450260215552,0.37005785770734767,False
MCH,VEGF-C,20,39,2.1065000811460196e-16,"[-0.31, 0.31]",1.0,1.0,False
Trom,VEGF-C,20,39,0.17500000000000013,"[-0.14, 0.46]",0.27379479263839523,0.4216630604396233,False
Neutr,VEGF-C,20,39,-0.09999999999999935,"[-0.40, 0.21]",0.5338939001152971,0.6666132877145801,False
Lymfos,VEGF-C,20,39,0.12578865135665684,"[-0.19, 0.42]",0.4332443322299997,0.5679296819010217,False
Monos,VEGF-C,20,39,0.18868297703498535,"[-0.13, 0.47]",0.23742561415580288,0.3854262673429648,False
Eosin,VEGF-C,20,39,0.2711630722733201,"[-0.04, 0.53]",0.08636524860566647,0.18712470531227735,False
Basof,VEGF-C,20,39,0.2912176030182453,"[-0.02, 0.55]",0.06470334559095077,0.15224606426044085,False
Lactic acid,VEGF-C,20,39,0.3291402943021914,"[0.02, 0.58]",0.03561505890517287,0.09483045804871384,False
Leuk,PlGF,20,39,0.20000000000000007,"[-0.11, 0.48]",0.20993874257441825,0.35282480691214296,False
Eryt,PlGF,20,39,0.4151025494769676,"[0.12, 0.64]",0.006960641563849513,0.02542647579521888,True
Hb,PlGF,20,39,0.3417995363907372,"[0.04, 0.59]",0.028724350254192083,0.08086727905957261,False
HKR,PlGF,20,39,0.44416506919798693,"[0.16, 0.66]",0.003624042773941482,0.015111574585680519,True
MCV,PlGF,20,39,0.25301215685249545,"[-0.06, 0.52]",0.11047574162655156,0.22817886821932612,False
MCH,PlGF,20,39,0.07905694150420957,"[-0.23, 0.38]",0.6231952830196226,0.7505512672879378,False
Trom,PlGF,20,39,0.37499999999999994,"[0.08, 0.61]",0.015700418653338422,0.04992507226457254,True
Neutr,PlGF,20,39,-0.17499999999999935,"[-0.46, 0.14]",0.2737947926383973,0.4216630604396233,False
Lymfos,PlGF,20,39,0.31447162839164217,"[0.01, 0.57]",0.045236032392655855,0.11557414056389531,False
Monos,PlGF,20,39,0.25157730271331386,"[-0.06, 0.52]",0.11257992176847016,0.23144337405425028,False
Eosin,PlGF,20,39,0.46097722286464426,"[0.18, 0.67]",0.0024195048556000724,0.01069421146175232,True
Basof,PlGF,20,39,0.5130976815083369,"[0.24, 0.71]",0.0006026136129282735,0.003288336011287616,True
Lactic acid,PlGF,20,39,0.519028925630379,"[0.25, 0.71]",0.0005070991425733931,0.0029108807924342825,True
Leuk,IL-13,20,39,0.19999999999999984,"[-0.11, 0.48]",0.20993874257441825,0.35282480691214296,False
Eryt,IL-13,20,39,0.33962935866297345,"[0.04, 0.59]",0.02982027076098728,0.08289660173809042,False
Hb,IL-13,20,39,0.3291402943021914,"[0.02, 0.58]",0.03561505890517307,0.09483045804871384,False
HKR,IL-13,20,39,0.255731403477629,"[-0.06, 0.52]",0.10657008404777879,0.22430465309103917,False
MCV,IL-13,20,39,-0.2724746304565326,"[-0.54, 0.04]",0.08479569816114423,0.1846290570799298,False
MCH,IL-13,20,39,0.0790569415042094,"[-0.23, 0.38]",0.6231952830196226,0.7505512672879378,False
Trom,IL-13,20,39,0.07499999999999982,"[-0.24, 0.37]",0.6411866947841538,0.7517361249193527,False
Neutr,IL-13,20,39,0.15000000000000036,"[-0.17, 0.44]",0.3492337410521762,0.49003591601607444,False
Lymfos,IL-13,20,39,0.1886829770349854,"[-0.13, 0.47]",0.23742561415580288,0.3854262673429648,False
Monos,IL-13,20,39,0.27673503298464525,"[-0.03, 0.54]",0.07984982710594835,0.1809929414401496,False
Eosin,IL-13,20,39,0.20337230420498995,"[-0.11, 0.48]",0.20219471975410755,0.35047084757378644,False
Basof,IL-13,20,39,0.0693375245281535,"[-0.24, 0.37]",0.6666387013824734,0.7795087460609874,False
Lactic acid,IL-13,20,39,0.1898886313281871,"[-0.13, 0.47]",0.2343864016617009,0.3854262673429648,False
Leuk,ICAM-1,20,39,0.39999999999999997,"[0.11, 0.63]",0.009563548476957966,0.03381670741452337,True
Eryt,ICAM-1,20,39,0.440260279748299,"[0.15, 0.66]",0.0039692609793371214,0.01609553534740374,True
