Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Immunoglobulin heavy variable 1-8,Concentration/ml,delta_time2_vs_time1,20,17,0.0068806875691690235,"[-0.45, 0.46]",0.9776970688467175,0.9949844433449895,False
Cystatin-C,Concentration/ml,delta_time2_vs_time1,20,17,-0.12147528741410948,"[-0.55, 0.35]",0.6203229545316078,0.9859192804439811,False
Immunoglobulin lambda-like polypeptide 1,Concentration/ml,delta_time2_vs_time1,20,17,0.17015525337881976,"[-0.31, 0.58]",0.4861520333370206,0.9859192804439811,False
Inhibin beta C chain,Concentration/ml,delta_time2_vs_time1,20,17,0.30215133998797805,"[-0.18, 0.67]",0.20865464536153044,0.9859192804439811,False
Mannose-binding protein C,Concentration/ml,delta_time2_vs_time1,20,17,0.05649513413281055,"[-0.41, 0.50]",0.8183083550133603,0.990774006958089,False
IgGFc-binding protein,Concentration/ml,delta_time2_vs_time1,20,17,0.2253918599458367,"[-0.25, 0.62]",0.35352243917183457,0.9859192804439811,False
Macrophage mannose receptor 1,Concentration/ml,delta_time2_vs_time1,20,17,-0.13146952586666077,"[-0.55, 0.34]",0.5916159167970497,0.9859192804439811,False
Aromatase,Concentration/ml,delta_time2_vs_time1,20,17,0.06625514290856706,"[-0.40, 0.51]",0.7875534588086877,0.990774006958089,False
Cadherin-5,Concentration/ml,delta_time2_vs_time1,20,17,-0.0346699832593403,"[-0.48, 0.43]",0.8879450170487642,0.9926311476947687,False
Immunoglobulin kappa variable 1-8,Concentration/ml,delta_time2_vs_time1,20,17,-0.1071705743749086,"[-0.54, 0.36]",0.6623339121386476,0.9859192804439811,False
Retinol-binding protein 4,Concentration/ml,delta_time2_vs_time1,20,17,-0.24510921144874162,"[-0.63, 0.24]",0.31182012147280713,0.9859192804439811,False
Complement component C8 beta chain,Concentration/ml,delta_time2_vs_time1,20,17,-0.10915176058395455,"[-0.54, 0.36]",0.6564539343547416,0.9859192804439811,False
Tumor necrosis factor receptor superfamily member 1B,Concentration/ml,delta_time2_vs_time1,20,17,-0.29434396565726584,"[-0.66, 0.18]",0.221239611425854,0.9859192804439811,False
Formin-2,Concentration/ml,delta_time2_vs_time1,20,17,0.03581963603236581,"[-0.43, 0.48]",0.8842526978718708,0.9926311476947687,False
Scavenger receptor cysteine-rich domain-containing protein DMBT1,Concentration/ml,delta_time2_vs_time1,20,17,0.08564504367870152,"[-0.38, 0.52]",0.7273780760333075,0.9889287227959405,False
Apolipoprotein L1,Concentration/ml,delta_time2_vs_time1,20,17,0.19602407049673615,"[-0.28, 0.60]",0.4212295281737042,0.9859192804439811,False
Leucine-rich alpha-2-glycoprotein,Concentration/ml,delta_time2_vs_time1,20,17,-0.33823225867713513,"[-0.69, 0.14]",0.15666397083167283,0.9859192804439811,False
Immunoglobulin heavy variable 1-2,Concentration/ml,delta_time2_vs_time1,20,17,0.23131557357269977,"[-0.25, 0.62]",0.3406714799144033,0.9859192804439811,False
Ras-related protein Rab-10,Concentration/ml,delta_time2_vs_time1,20,17,-0.3195668022165294,"[-0.68, 0.16]",0.1823075677263184,0.9859192804439811,False
Immunoglobulin heavy variable 1-24,Concentration/ml,delta_time2_vs_time1,20,17,0.20300513866370087,"[-0.28, 0.60]",0.40454210883335073,0.9859192804439811,False
Annexin A3,Concentration/ml,delta_time2_vs_time1,20,17,0.054208753288827474,"[-0.41, 0.50]",0.8255516110233454,0.990774006958089,False
Hemoglobin subunit beta,Concentration/ml,delta_time2_vs_time1,20,17,0.3457432424509366,"[-0.13, 0.69]",0.147084096276926,0.9859192804439811,False
Immunoglobulin lambda variable 4-69,Concentration/ml,delta_time2_vs_time1,20,17,0.2963513506722311,"[-0.18, 0.66]",0.21795773817527417,0.9859192804439811,False
Elongation factor 2,Concentration/ml,delta_time2_vs_time1,20,17,-0.295851163063128,"[-0.66, 0.18]",0.21877250411485297,0.9859192804439811,False
Multiple inositol polyphosphate phosphatase 1,Concentration/ml,delta_time2_vs_time1,20,17,-0.25828645208072154,"[-0.64, 0.22]",0.28567301208984913,0.9859192804439811,False
