Protein,Effect,N,p_value_raw,Partial_Eta_Squared,p_value_FDR
Zinc finger protein 512B,Group,20,0.037,0.22,0.11408333333333333
Zinc finger protein 512B,TimePoint,20,0.046,0.159,0.3453333333333333
Immunoglobulin lambda variable 3-19,TimePoint:Group,20,0.102,0.122,0.8057777777777778
Immunoglobulin lambda variable 3-19,Group,20,0.167,0.103,0.3100573476702509
Immunoglobulin lambda variable 3-19,TimePoint,20,0.268,0.071,0.6622831050228312
Complement C1q subcomponent subunit B,TimePoint:Group,20,0.312,0.062,0.8057777777777778
Complement C1q subcomponent subunit B,Group,20,0.262,0.069,0.42017337461300314
Complement C1q subcomponent subunit B,TimePoint,20,0.756,0.014,0.888
Ubiquitin-ribosomal protein eS31 fusion protein,TimePoint:Group,20,0.629,0.021,0.8710578947368421
Ubiquitin-ribosomal protein eS31 fusion protein,Group,20,0.797,0.004,0.87024
Ubiquitin-ribosomal protein eS31 fusion protein,TimePoint,20,0.743,0.013,0.8827385321100918
Kinesin-like protein KIF21A,TimePoint:Group,20,0.527,0.031,0.8451578947368422
Kinesin-like protein KIF21A,Group,20,0.331,0.053,0.48988000000000004
Kinesin-like protein KIF21A,TimePoint,20,0.957,0.001,0.9663274853801169
Attractin,TimePoint:Group,20,0.465,0.036,0.8268076923076922
Attractin,Group,20,0.149,0.112,0.28692193308550185
Attractin,TimePoint,20,0.148,0.107,0.5215
Immunoglobulin lambda variable 1-44,TimePoint:Group,20,0.107,0.117,0.8057777777777778
Immunoglobulin lambda variable 1-44,Group,20,0.118,0.131,0.2536265560165975
Immunoglobulin lambda variable 1-44,TimePoint,20,0.657,0.023,0.8361818181818182
Immunoglobulin heavy variable 1-46,TimePoint:Group,20,0.937,0.002,0.97384
Immunoglobulin heavy variable 1-46,Group,20,0.009,0.321,0.047090909090909086
Immunoglobulin heavy variable 1-46,TimePoint,20,0.022,0.214,0.27795121951219515
Fibulin-1,TimePoint:Group,20,0.434,0.044,0.8174981818181818
Fibulin-1,Group,20,0.533,0.022,0.6734000000000001
Fibulin-1,TimePoint,20,0.801,0.01,0.8978666666666667
Secreted phosphoprotein 24,TimePoint:Group,20,0.343,0.056,0.8057777777777778
Secreted phosphoprotein 24,Group,20,0.802,0.004,0.872764705882353
Secreted phosphoprotein 24,TimePoint,20,0.501,0.034,0.7701238938053097
Scavenger receptor class B member 1,TimePoint:Group,20,0.105,0.121,0.8057777777777778
Scavenger receptor class B member 1,Group,20,0.015,0.285,0.06698275862068966
Scavenger receptor class B member 1,TimePoint,20,0.667,0.021,0.8370579710144929
Immunoglobulin lambda variable 2-18,TimePoint:Group,20,0.281,0.067,0.8057777777777778
Immunoglobulin lambda variable 2-18,Group,20,0.064,0.178,0.16331034482758622
Immunoglobulin lambda variable 2-18,TimePoint,20,0.373,0.049,0.7129667896678967
Collagen alpha-2(VI) chain,TimePoint:Group,20,0.57,0.029,0.8499367816091954
Collagen alpha-2(VI) chain,Group,20,0.011,0.307,0.052759259259259256
Collagen alpha-2(VI) chain,TimePoint,20,0.576,0.028,0.8048923076923076
Adiponectin,TimePoint:Group,20,0.222,0.081,0.8057777777777778
Adiponectin,Group,20,0.789,0.004,0.8658940677966103
Adiponectin,TimePoint,20,0.596,0.024,0.8048923076923076
Nidogen-1,TimePoint:Group,20,0.504,0.037,0.8330219435736678
Nidogen-1,Group,20,0.001,0.569,0.010791666666666668
Nidogen-1,TimePoint,20,0.123,0.111,0.4719555555555556
Alpha-1-antitrypsin,TimePoint:Group,20,0.301,0.064,0.8057777777777778
Alpha-1-antitrypsin,Group,20,0.997,0.001,0.997
Alpha-1-antitrypsin,TimePoint,20,0.198,0.087,0.5974659090909091
"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",TimePoint:Group,20,0.4,0.049,0.8057777777777778
"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",Group,20,0.057,0.187,0.1521958762886598
"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",TimePoint,20,0.04,0.17,0.3453333333333333
Complement C1s subcomponent,TimePoint:Group,20,0.506,0.034,0.8330219435736678
Complement C1s subcomponent,Group,20,0.883,0.001,0.9277768762677485
Complement C1s subcomponent,TimePoint,20,0.18,0.093,0.5682303030303031
Alpha-actinin-4,TimePoint:Group,20,0.921,0.003,0.9677038539553753
Alpha-actinin-4,Group,20,0.039,0.215,0.11953846153846154
Alpha-actinin-4,TimePoint,20,0.664,0.02,0.8370579710144929
Complement component C1q receptor,TimePoint:Group,20,0.352,0.055,0.8057777777777778
Complement component C1q receptor,Group,20,0.251,0.072,0.4101514195583596
Complement component C1q receptor,TimePoint,20,0.903,0.004,0.9373827655310621
Inter-alpha-trypsin inhibitor heavy chain H3,TimePoint:Group,20,0.31,0.062,0.8057777777777778
Inter-alpha-trypsin inhibitor heavy chain H3,Group,20,0.137,0.118,0.27190038314176246
Inter-alpha-trypsin inhibitor heavy chain H3,TimePoint,20,0.044,0.169,0.3453333333333333
Immunoglobulin kappa variable 1D-8,TimePoint:Group,20,0.518,0.031,0.8385125
Immunoglobulin kappa variable 1D-8,Group,20,0.067,0.175,0.16685576923076925
Immunoglobulin kappa variable 1D-8,TimePoint,20,0.426,0.042,0.73556
Low-density lipoprotein receptor,TimePoint:Group,20,0.313,0.062,0.8057777777777778
Low-density lipoprotein receptor,Group,20,0.055,0.189,0.14994736842105263
Low-density lipoprotein receptor,TimePoint,20,0.867,0.007,0.922422131147541
Prolactin-inducible protein,TimePoint:Group,20,0.174,0.099,0.8057777777777778
Prolactin-inducible protein,Group,20,0.15,0.112,0.2877777777777778
Prolactin-inducible protein,TimePoint,20,0.556,0.023,0.7934104683195593
Hyaluronan-binding protein 2,TimePoint:Group,20,0.91,0.004,0.960040733197556
Hyaluronan-binding protein 2,Group,20,0.206,0.087,0.3605
Hyaluronan-binding protein 2,TimePoint,20,0.149,0.103,0.5215
N-acetylmuramoyl-L-alanine amidase,TimePoint:Group,20,0.186,0.091,0.8057777777777778
N-acetylmuramoyl-L-alanine amidase,Group,20,0.009,0.321,0.047090909090909086
N-acetylmuramoyl-L-alanine amidase,TimePoint,20,0.018,0.21,0.24536842105263154
Serpin A11,TimePoint:Group,20,0.772,0.014,0.916279176201373
Serpin A11,Group,20,0.431,0.035,0.5754072164948454
Serpin A11,TimePoint,20,0.105,0.118,0.4421951219512195
C4b-binding protein alpha chain,TimePoint:Group,20,0.705,0.018,0.8941515892420537
C4b-binding protein alpha chain,Group,20,0.18,0.097,0.3271578947368421
C4b-binding protein alpha chain,TimePoint,20,0.082,0.132,0.40842307692307694
Inter-alpha-trypsin inhibitor heavy chain H2,TimePoint:Group,20,0.906,0.004,0.9588285714285715
Inter-alpha-trypsin inhibitor heavy chain H2,Group,20,0.02,0.265,0.0809375
Inter-alpha-trypsin inhibitor heavy chain H2,TimePoint,20,0.593,0.027,0.8048923076923076
Fibrillin-1,TimePoint:Group,20,0.239,0.077,0.8057777777777778
Fibrillin-1,Group,20,0.005,0.363,0.03083333333333333
Fibrillin-1,TimePoint,20,0.41,0.04,0.7323448275862069
Golgi-associated RAB2 interactor protein 1B,TimePoint:Group,20,0.368,0.047,0.8057777777777778
Golgi-associated RAB2 interactor protein 1B,Group,20,0.65,0.012,0.7687214611872146
Golgi-associated RAB2 interactor protein 1B,TimePoint,20,0.53,0.024,0.7821652421652422
Neurogenic locus notch homolog protein 3,TimePoint:Group,20,0.45,0.04,0.8268076923076922
Neurogenic locus notch homolog protein 3,Group,20,0.001,0.544,0.010791666666666668
Neurogenic locus notch homolog protein 3,TimePoint,20,0.774,0.01,0.8945198237885462
Immunoglobulin heavy constant alpha 1,TimePoint:Group,20,0.539,0.033,0.8499367816091954
Immunoglobulin heavy constant alpha 1,Group,20,0.773,0.005,0.861105376344086
Immunoglobulin heavy constant alpha 1,TimePoint,20,0.364,0.054,0.7129667896678967
Apolipoprotein C-III,TimePoint:Group,20,0.08,0.144,0.8057777777777778
Apolipoprotein C-III,Group,20,0.503,0.025,0.6465359801488834
Apolipoprotein C-III,TimePoint,20,0.004,0.306,0.1295
Glutathione peroxidase 3,TimePoint:Group,20,0.555,0.032,0.8499367816091954
Glutathione peroxidase 3,Group,20,0.279,0.065,0.43530722891566265
Glutathione peroxidase 3,TimePoint,20,0.054,0.15,0.3493488372093023
Contactin-1,TimePoint:Group,20,0.019,0.199,0.8057777777777778
Contactin-1,Group,20,0.001,0.45,0.010791666666666668
Contactin-1,TimePoint,20,0.098,0.122,0.43459322033898307
Stomatin,TimePoint:Group,20,0.635,0.019,0.8710578947368421
Stomatin,Group,20,0.05,0.198,0.1423076923076923
Stomatin,TimePoint,20,0.014,0.248,0.226625
Immunoglobulin heavy variable 3-13,TimePoint:Group,20,0.831,0.01,0.9461084598698482
Immunoglobulin heavy variable 3-13,Group,20,0.116,0.131,0.2524705882352941
Immunoglobulin heavy variable 3-13,TimePoint,20,0.586,0.028,0.8048923076923076
Immunoglobulin heavy variable 1-69-2,TimePoint:Group,20,0.864,0.006,0.9522382978723405
Immunoglobulin heavy variable 1-69-2,Group,20,0.051,0.196,0.14279999999999998
Immunoglobulin heavy variable 1-69-2,TimePoint,20,0.26,0.072,0.6537864077669904
Apolipoprotein E,TimePoint:Group,20,0.104,0.124,0.8057777777777778
Apolipoprotein E,Group,20,0.427,0.035,0.5743626943005181
Apolipoprotein E,TimePoint,20,0.139,0.108,0.5036111111111111
Mucosal addressin cell adhesion molecule 1,TimePoint:Group,20,0.642,0.017,0.8728503937007874
Mucosal addressin cell adhesion molecule 1,Group,20,0.031,0.234,0.10427272727272727
Mucosal addressin cell adhesion molecule 1,TimePoint,20,0.804,0.006,0.8978666666666667
Protein S100-A11,TimePoint:Group,20,0.179,0.096,0.8057777777777778
Protein S100-A11,Group,20,0.149,0.112,0.28692193308550185
Protein S100-A11,TimePoint,20,0.455,0.036,0.7539044585987261
Complement factor H-related protein 4,TimePoint:Group,20,0.145,0.103,0.8057777777777778
Complement factor H-related protein 4,Group,20,0.102,0.141,0.22872727272727272
Complement factor H-related protein 4,TimePoint,20,0.254,0.073,0.6513465346534654
Immunoglobulin kappa variable 1D-16,TimePoint:Group,20,0.841,0.008,0.9461084598698482
Immunoglobulin kappa variable 1D-16,Group,20,0.154,0.11,0.29220512820512823
Immunoglobulin kappa variable 1D-16,TimePoint,20,0.6,0.026,0.8048923076923076
Immunoglobulin lambda variable 1-47,TimePoint:Group,20,0.454,0.041,0.8268076923076922
Immunoglobulin lambda variable 1-47,Group,20,0.747,0.006,0.8430196078431372
Immunoglobulin lambda variable 1-47,TimePoint,20,0.246,0.075,0.6371399999999999
Fructose-bisphosphate aldolase A,TimePoint:Group,20,0.484,0.035,0.8268076923076922
Fructose-bisphosphate aldolase A,Group,20,0.839,0.002,0.8979380165289256
Fructose-bisphosphate aldolase A,TimePoint,20,0.355,0.053,0.71
Thrombospondin-1,TimePoint:Group,20,0.333,0.057,0.8057777777777778
Thrombospondin-1,Group,20,0.156,0.109,0.29491970802919704
Thrombospondin-1,TimePoint,20,0.275,0.068,0.6622831050228312
Aminopeptidase N,TimePoint:Group,20,0.404,0.041,0.8057777777777778
Aminopeptidase N,Group,20,0.824,0.003,0.8876929460580912
Aminopeptidase N,TimePoint,20,0.217,0.084,0.6066417112299465
Apolipoprotein M,TimePoint:Group,20,0.802,0.008,0.9335640449438203
Apolipoprotein M,Group,20,0.224,0.081,0.3804327868852459
Apolipoprotein M,TimePoint,20,0.849,0.006,0.9162125
Immunoglobulin heavy variable 3-43,TimePoint:Group,20,0.907,0.003,0.9588285714285715
Immunoglobulin heavy variable 3-43,Group,20,0.07,0.171,0.1686511627906977
Immunoglobulin heavy variable 3-43,TimePoint,20,0.426,0.043,0.73556
Cysteine-rich secretory protein 3,TimePoint:Group,20,0.291,0.065,0.8057777777777778
Cysteine-rich secretory protein 3,Group,20,0.046,0.203,0.1331173184357542
Cysteine-rich secretory protein 3,TimePoint,20,0.126,0.117,0.4729565217391304
Complement component C8 alpha chain,TimePoint:Group,20,0.724,0.015,0.8972057416267941
Complement component C8 alpha chain,Group,20,0.167,0.103,0.3100573476702509
Complement component C8 alpha chain,TimePoint,20,0.708,0.016,0.8641458823529411
Immunoglobulin heavy variable 2-70D,TimePoint:Group,20,0.252,0.074,0.8057777777777778
Immunoglobulin heavy variable 2-70D,Group,20,0.991,0.001,0.9948410852713178
Immunoglobulin heavy variable 2-70D,TimePoint,20,0.583,0.027,0.8048923076923076
Immunoglobulin heavy variable 3-23,TimePoint:Group,20,0.718,0.014,0.8972057416267941
Immunoglobulin heavy variable 3-23,Group,20,0.721,0.007,0.8208307692307691
Immunoglobulin heavy variable 3-23,TimePoint,20,0.521,0.032,0.7777421203438396
Plasma kallikrein,TimePoint:Group,20,0.025,0.211,0.8057777777777778
Plasma kallikrein,Group,20,0.126,0.125,0.26212048192771087
Plasma kallikrein,TimePoint,20,0.062,0.159,0.3608539325842697
Galectin-7,TimePoint:Group,20,0.655,0.015,0.8762056555269923
Galectin-7,Group,20,0.514,0.024,0.6574123456790124
Galectin-7,TimePoint,20,0.34,0.054,0.7035826771653543
Extracellular superoxide dismutase [Cu-Zn],TimePoint:Group,20,0.51,0.029,0.8330219435736678
Extracellular superoxide dismutase [Cu-Zn],Group,20,0.191,0.093,0.33999312714776636
Extracellular superoxide dismutase [Cu-Zn],TimePoint,20,0.104,0.133,0.44157377049180324
Immunoglobulin heavy variable 1-8,TimePoint:Group,20,0.957,0.001,0.9769744597249508
Immunoglobulin heavy variable 1-8,Group,20,0.001,0.52,0.010791666666666668
Immunoglobulin heavy variable 1-8,TimePoint,20,0.797,0.008,0.8978666666666667
Cystatin-C,TimePoint:Group,20,0.01,0.283,0.8057777777777778
Cystatin-C,Group,20,0.017,0.277,0.074
Cystatin-C,TimePoint,20,0.028,0.219,0.3223111111111111
Immunoglobulin lambda-like polypeptide 1,TimePoint:Group,20,0.338,0.058,0.8057777777777778
