Protein,Effect,N,p_value_raw,Partial_Eta_Squared,p_value_FDR
Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28,TimePoint,20,0.389,0.043,0.7323448275862069
Complement C3,TimePoint:Group,20,0.699,0.018,0.8940296296296296
Complement C3,Group,20,0.294,0.061,0.4519050445103857
Complement C3,TimePoint,20,0.058,0.15,0.3493488372093023
Thyroxine-binding globulin,TimePoint:Group,20,0.568,0.025,0.8499367816091954
Thyroxine-binding globulin,Group,20,0.501,0.026,0.6465359801488834
Thyroxine-binding globulin,TimePoint,20,0.136,0.112,0.5032
Immunoglobulin kappa variable 1D-13;Immunoglobulin kappa variable 1-13,TimePoint:Group,20,0.301,0.06,0.8057777777777778
Immunoglobulin kappa variable 1D-13;Immunoglobulin kappa variable 1-13,Group,20,0.244,0.075,0.40380830670926515
Immunoglobulin kappa variable 1D-13;Immunoglobulin kappa variable 1-13,TimePoint,20,0.508,0.026,0.7732023460410558
Complement factor H-related protein 5,TimePoint:Group,20,0.94,0.003,0.97384
Complement factor H-related protein 5,Group,20,0.27,0.067,0.4264024390243903
Complement factor H-related protein 5,TimePoint,20,0.271,0.07,0.6622831050228312
Immunoglobulin lambda variable 2-23,TimePoint:Group,20,0.369,0.051,0.8057777777777778
Immunoglobulin lambda variable 2-23,Group,20,0.013,0.296,0.061779816513761465
Immunoglobulin lambda variable 2-23,TimePoint,20,0.333,0.057,0.7035826771653543
Coagulation factor VII,TimePoint:Group,20,0.485,0.039,0.8268076923076922
Coagulation factor VII,Group,20,0.681,0.01,0.7891677852348994
Coagulation factor VII,TimePoint,20,0.097,0.122,0.43459322033898307
Immunoglobulin heavy constant gamma 4,TimePoint:Group,20,0.608,0.023,0.8656793478260869
Immunoglobulin heavy constant gamma 4,Group,20,0.127,0.125,0.263144
Immunoglobulin heavy constant gamma 4,TimePoint,20,0.54,0.03,0.7841944444444444
L-lactate dehydrogenase B chain,TimePoint:Group,20,0.676,0.016,0.883950248756219
L-lactate dehydrogenase B chain,Group,20,0.131,0.122,0.27008560311284047
L-lactate dehydrogenase B chain,TimePoint,20,0.279,0.067,0.6622831050228312
Zinc-alpha-2-glycoprotein,TimePoint:Group,20,0.458,0.039,0.8268076923076922
Zinc-alpha-2-glycoprotein,Group,20,0.189,0.094,0.33759310344827587
Zinc-alpha-2-glycoprotein,TimePoint,20,0.034,0.191,0.33869230769230774
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",TimePoint:Group,20,0.957,0.002,0.9769744597249508
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",Group,20,0.252,0.072,0.41049056603773587
"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",TimePoint,20,0.445,0.043,0.7539044585987261
Serpin B3,TimePoint:Group,20,0.374,0.05,0.8057777777777778
Serpin B3,Group,20,0.024,0.253,0.0894388489208633
Serpin B3,TimePoint,20,0.35,0.054,0.7082031249999999
Immunoglobulin heavy variable 3-33,TimePoint:Group,20,0.431,0.043,0.8148102189781021
Immunoglobulin heavy variable 3-33,Group,20,0.003,0.386,0.02252173913043478
Immunoglobulin heavy variable 3-33,TimePoint,20,0.407,0.046,0.7323448275862069
Follistatin-related protein 1,TimePoint:Group,20,0.157,0.099,0.8057777777777778
Follistatin-related protein 1,Group,20,0.032,0.231,0.1055796178343949
Follistatin-related protein 1,TimePoint,20,0.058,0.151,0.3493488372093023
Cholesteryl ester transfer protein,TimePoint:Group,20,0.94,0.003,0.97384
Cholesteryl ester transfer protein,Group,20,0.21,0.086,0.3613953488372093
Cholesteryl ester transfer protein,TimePoint,20,0.477,0.039,0.7668277945619335
Complement C1q subcomponent subunit C,TimePoint:Group,20,0.342,0.057,0.8057777777777778
Complement C1q subcomponent subunit C,Group,20,0.989,0.001,0.9947611650485436
Complement C1q subcomponent subunit C,TimePoint,20,0.14,0.106,0.5036111111111111
Immunoglobulin heavy variable 4-30-2,TimePoint:Group,20,0.16,0.099,0.8057777777777778
Immunoglobulin heavy variable 4-30-2,Group,20,0.002,0.413,0.01786206896551724
Immunoglobulin heavy variable 4-30-2,TimePoint,20,0.874,0.006,0.9239428571428572
Thrombospondin-4,TimePoint:Group,20,0.263,0.071,0.8057777777777778
Thrombospondin-4,Group,20,0.066,0.175,0.1659611650485437
Thrombospondin-4,TimePoint,20,0.563,0.025,0.7968142076502731
Transketolase,TimePoint:Group,20,0.417,0.04,0.8057777777777778
Transketolase,Group,20,0.192,0.093,0.3406027397260274
Transketolase,TimePoint,20,0.49,0.03,0.7668277945619335
Complement receptor type 2,TimePoint:Group,20,0.543,0.031,0.8499367816091954
Complement receptor type 2,Group,20,0.001,0.525,0.010791666666666668
Complement receptor type 2,TimePoint,20,0.898,0.004,0.9373827655310621
Immunoglobulin kappa variable 2-40;Immunoglobulin kappa variable 2D-40,TimePoint:Group,20,0.576,0.024,0.8539599999999999
Immunoglobulin kappa variable 2-40;Immunoglobulin kappa variable 2D-40,Group,20,0.023,0.256,0.08760294117647059
Immunoglobulin kappa variable 2-40;Immunoglobulin kappa variable 2D-40,TimePoint,20,0.472,0.035,0.7668277945619335
Immunoglobulin kappa variable 3D-7,TimePoint:Group,20,0.49,0.039,0.8268076923076922
Immunoglobulin kappa variable 3D-7,Group,20,0.12,0.129,0.2537142857142857
Immunoglobulin kappa variable 3D-7,TimePoint,20,0.869,0.008,0.922422131147541
Immunoglobulin heavy variable 3-64,TimePoint:Group,20,0.651,0.017,0.8762056555269923
Immunoglobulin heavy variable 3-64,Group,20,0.002,0.42,0.01786206896551724
Immunoglobulin heavy variable 3-64,TimePoint,20,0.487,0.033,0.7668277945619335
Vitronectin,TimePoint:Group,20,0.257,0.073,0.8057777777777778
Vitronectin,Group,20,0.399,0.04,0.5570943396226415
Vitronectin,TimePoint,20,0.332,0.059,0.7035826771653543
Complement component C8 gamma chain,TimePoint:Group,20,0.346,0.056,0.8057777777777778
Complement component C8 gamma chain,Group,20,0.186,0.095,0.3345416666666667
Complement component C8 gamma chain,TimePoint,20,0.062,0.148,0.3608539325842697
Immunoglobulin heavy variable 5-51,TimePoint:Group,20,0.101,0.123,0.8057777777777778
Immunoglobulin heavy variable 5-51,Group,20,0.585,0.017,0.7180805687203791
Immunoglobulin heavy variable 5-51,TimePoint,20,0.669,0.02,0.8370579710144929
Coagulation factor V,TimePoint:Group,20,0.07,0.142,0.8057777777777778
Coagulation factor V,Group,20,0.062,0.18,0.16058
Coagulation factor V,TimePoint,20,0.621,0.024,0.8164416243654822
Protein S100-A7,TimePoint:Group,20,0.614,0.017,0.8656793478260869
Protein S100-A7,Group,20,0.417,0.037,0.5654607329842932
Protein S100-A7,TimePoint,20,0.28,0.066,0.6622831050228312
Arginase-1,TimePoint:Group,20,0.556,0.029,0.8499367816091954
Arginase-1,Group,20,0.139,0.117,0.2727348484848485
Arginase-1,TimePoint,20,0.594,0.025,0.8048923076923076
Protein-glutamine gamma-glutamyltransferase K,TimePoint:Group,20,0.553,0.03,0.8499367816091954
Protein-glutamine gamma-glutamyltransferase K,Group,20,0.3,0.06,0.45705882352941174
Protein-glutamine gamma-glutamyltransferase K,TimePoint,20,0.835,0.008,0.9144397463002114
Immunoglobulin kappa variable 4-1,TimePoint:Group,20,0.223,0.08,0.8057777777777778
Immunoglobulin kappa variable 4-1,Group,20,0.902,0.001,0.9420080645161291
Immunoglobulin kappa variable 4-1,TimePoint,20,0.791,0.011,0.8978666666666667
Coagulation factor XIII B chain,TimePoint:Group,20,0.665,0.021,0.8800714285714286
Coagulation factor XIII B chain,Group,20,0.025,0.248,0.09119718309859155
Coagulation factor XIII B chain,TimePoint,20,0.09,0.127,0.43166666666666664
Apolipoprotein C-II,TimePoint:Group,20,0.925,0.003,0.967979797979798
Apolipoprotein C-II,Group,20,0.841,0.002,0.8982226804123711
Apolipoprotein C-II,TimePoint,20,0.003,0.296,0.111
Bone marrow proteoglycan,TimePoint:Group,20,0.869,0.006,0.9547881355932204
Bone marrow proteoglycan,Group,20,0.003,0.394,0.02252173913043478
Bone marrow proteoglycan,TimePoint,20,0.938,0.003,0.952713725490196
Apolipoprotein A-I,TimePoint:Group,20,0.215,0.083,0.8057777777777778
Apolipoprotein A-I,Group,20,0.46,0.031,0.6047715736040609
Apolipoprotein A-I,TimePoint,20,0.075,0.147,0.38849999999999996
Coagulation factor X,TimePoint:Group,20,0.206,0.085,0.8057777777777778
Coagulation factor X,Group,20,0.202,0.089,0.35590476190476195
Coagulation factor X,TimePoint,20,0.021,0.198,0.27195
Thioredoxin,TimePoint:Group,20,0.441,0.042,0.8268076923076922
Thioredoxin,Group,20,0.003,0.388,0.02252173913043478
Thioredoxin,TimePoint,20,0.63,0.022,0.8199497487437186
Immunoglobulin heavy variable 3-15,TimePoint:Group,20,0.512,0.036,0.8330219435736678
Immunoglobulin heavy variable 3-15,Group,20,0.249,0.073,0.40817088607594937
Immunoglobulin heavy variable 3-15,TimePoint,20,0.779,0.013,0.8945198237885462
Proteasome subunit beta type-2,TimePoint:Group,20,0.318,0.059,0.8057777777777778
Proteasome subunit beta type-2,Group,20,0.228,0.08,0.38470358306188923
Proteasome subunit beta type-2,TimePoint,20,0.483,0.033,0.7668277945619335
Apolipoprotein A-II,TimePoint:Group,20,0.364,0.052,0.8057777777777778
Apolipoprotein A-II,Group,20,0.889,0.001,0.9303070707070707
Apolipoprotein A-II,TimePoint,20,0.173,0.096,0.5531728395061728
Immunoglobulin heavy constant gamma 2,TimePoint:Group,20,0.777,0.011,0.9189178082191781
Immunoglobulin heavy constant gamma 2,Group,20,0.572,0.018,0.7088421052631578
Immunoglobulin heavy constant gamma 2,TimePoint,20,0.015,0.227,0.2285294117647059
Plakophilin-1,TimePoint:Group,20,0.806,0.008,0.9351812080536913
Plakophilin-1,Group,20,0.866,0.002,0.9186571428571428
Plakophilin-1,TimePoint,20,0.617,0.021,0.8132468193384224
Fetuin-B,TimePoint:Group,20,0.705,0.018,0.8941515892420537
Fetuin-B,Group,20,0.03,0.235,0.10291390728476822
Fetuin-B,TimePoint,20,0.076,0.136,0.3897821782178218
Complement factor H-related protein 3,TimePoint:Group,20,0.225,0.081,0.8057777777777778
Complement factor H-related protein 3,Group,20,0.408,0.038,0.5591111111111111
Complement factor H-related protein 3,TimePoint,20,0.481,0.035,0.7668277945619335
Plasminogen,TimePoint:Group,20,0.581,0.029,0.8549943181818181
Plasminogen,Group,20,0.721,0.007,0.8208307692307691
Plasminogen,TimePoint,20,0.001,0.324,0.0518
Fermitin family homolog 3,TimePoint:Group,20,0.242,0.076,0.8057777777777778
Fermitin family homolog 3,Group,20,0.111,0.135,0.2426075949367089
Fermitin family homolog 3,TimePoint,20,0.001,0.696,0.0518
Immunoglobulin heavy variable 3-21,TimePoint:Group,20,0.341,0.057,0.8057777777777778
Immunoglobulin heavy variable 3-21,Group,20,0.184,0.096,0.3332587412587413
Immunoglobulin heavy variable 3-21,TimePoint,20,0.709,0.017,0.8641458823529411
Immunoglobulin heavy variable 2-26,TimePoint:Group,20,0.999,0.001,0.999
Immunoglobulin heavy variable 2-26,Group,20,0.04,0.213,0.11976878612716764
Immunoglobulin heavy variable 2-26,TimePoint,20,0.218,0.082,0.6066417112299465
Immunoglobulin kappa variable 1-12;Immunoglobulin kappa variable 1D-12,TimePoint:Group,20,0.273,0.069,0.8057777777777778
Immunoglobulin kappa variable 1-12;Immunoglobulin kappa variable 1D-12,Group,20,0.305,0.058,0.46331378299120235
Immunoglobulin kappa variable 1-12;Immunoglobulin kappa variable 1D-12,TimePoint,20,0.455,0.04,0.7539044585987261
Immunoglobulin heavy constant gamma 3,TimePoint:Group,20,0.984,0.001,0.9916575875486381
Immunoglobulin heavy constant gamma 3,Group,20,0.466,0.03,0.6111088607594937
Immunoglobulin heavy constant gamma 3,TimePoint,20,0.602,0.026,0.8048923076923076
Immunoglobulin kappa variable 2D-29,TimePoint:Group,20,0.901,0.002,0.9588285714285715
Immunoglobulin kappa variable 2D-29,Group,20,0.262,0.069,0.42017337461300314
Immunoglobulin kappa variable 2D-29,TimePoint,20,0.29,0.065,0.6676444444444444
Neogenin,TimePoint:Group,20,0.002,0.34,0.8057777777777778
Neogenin,Group,20,0.001,0.528,0.010791666666666668
Neogenin,TimePoint,20,0.041,0.178,0.3453333333333333
Immunoglobulin heavy variable 6-1,TimePoint:Group,20,0.272,0.067,0.8057777777777778
Immunoglobulin heavy variable 6-1,Group,20,0.419,0.037,0.5666892950391645
Immunoglobulin heavy variable 6-1,TimePoint,20,0.367,0.047,0.7129667896678967
L-selectin,TimePoint:Group,20,0.462,0.038,0.8268076923076922
L-selectin,Group,20,0.028,0.24,0.09669333333333334
L-selectin,TimePoint,20,0.449,0.039,0.7539044585987261
Immunoglobulin lambda constant 3,TimePoint:Group,20,0.533,0.028,0.846914110429448
Immunoglobulin lambda constant 3,Group,20,0.628,0.013,0.7512794457274827
Immunoglobulin lambda constant 3,TimePoint,20,0.965,0.001,0.970621359223301
A disintegrin and metalloproteinase with thrombospondin motifs 13,TimePoint:Group,20,0.066,0.147,0.8057777777777778
A disintegrin and metalloproteinase with thrombospondin motifs 13,Group,20,0.001,0.605,0.010791666666666668
A disintegrin and metalloproteinase with thrombospondin motifs 13,TimePoint,20,0.068,0.145,0.3707789473684211
von Willebrand factor,TimePoint:Group,20,0.283,0.068,0.8057777777777778
von Willebrand factor,Group,20,0.961,0.001,0.977992141453831
von Willebrand factor,TimePoint,20,0.005,0.272,0.1523529411764706
Neutral alpha-glucosidase AB,TimePoint:Group,20,0.344,0.056,0.8057777777777778
Neutral alpha-glucosidase AB,Group,20,0.05,0.197,0.1423076923076923
Neutral alpha-glucosidase AB,TimePoint,20,0.404,0.047,0.7323448275862069
Carbonic anhydrase 1,TimePoint:Group,20,0.953,0.002,0.9769744597249508
Carbonic anhydrase 1,Group,20,0.003,0.399,0.02252173913043478
Carbonic anhydrase 1,TimePoint,20,0.014,0.229,0.226625
Immunoglobulin lambda variable 4-60,TimePoint:Group,20,0.607,0.025,0.8656793478260869
Immunoglobulin lambda variable 4-60,Group,20,0.121,0.128,0.25478861788617885
Immunoglobulin lambda variable 4-60,TimePoint,20,0.782,0.012,0.8945198237885462
Integrin beta-1,TimePoint:Group,20,0.286,0.067,0.8057777777777778
Integrin beta-1,Group,20,0.001,0.48,0.010791666666666668
Integrin beta-1,TimePoint,20,0.606,0.027,0.8048923076923076
Immunoglobulin lambda variable 3-12,TimePoint:Group,20,0.285,0.067,0.8057777777777778
Immunoglobulin lambda variable 3-12,Group,20,0.035,0.224,0.11054878048780489
Immunoglobulin lambda variable 3-12,TimePoint,20,0.336,0.058,0.7035826771653543
Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A,TimePoint:Group,20,0.55,0.024,0.8499367816091954
Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A,Group,20,0.639,0.012,0.7609241379310345
Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A,TimePoint,20,0.504,0.029,0.7701238938053097
Lumican,TimePoint:Group,20,0.086,0.137,0.8057777777777778
Lumican,Group,20,0.004,0.375,0.0259
Lumican,TimePoint,20,0.02,0.217,0.26564102564102565
Beta-Ala-His dipeptidase,TimePoint:Group,20,0.18,0.095,0.8057777777777778
Beta-Ala-His dipeptidase,Group,20,0.406,0.039,0.5578461538461539
Beta-Ala-His dipeptidase,TimePoint,20,0.674,0.015,0.8405048076923078
Immunoglobulin alpha-2 heavy chain,TimePoint:Group,20,0.666,0.021,0.8800714285714286
Immunoglobulin alpha-2 heavy chain,Group,20,0.1,0.143,0.22620087336244543
Immunoglobulin alpha-2 heavy chain,TimePoint,20,0.481,0.039,0.7668277945619335
Complement C5,TimePoint:Group,20,0.494,0.036,0.8268076923076922
Complement C5,Group,20,0.336,0.051,0.4944545454545455
Complement C5,TimePoint,20,0.317,0.061,0.7017350427350427
Protein S100-A8,TimePoint:Group,20,0.214,0.084,0.8057777777777778
Protein S100-A8,Group,20,0.044,0.207,0.1287683615819209
Protein S100-A8,TimePoint,20,0.422,0.042,0.73556
Immunoglobulin lambda variable 3-25,TimePoint:Group,20,0.555,0.032,0.8499367816091954
Immunoglobulin lambda variable 3-25,Group,20,0.648,0.012,0.7687214611872146
Immunoglobulin lambda variable 3-25,TimePoint,20,0.859,0.008,0.922422131147541
Leukocyte immunoglobulin-like receptor subfamily B member 3;Leukocyte immunoglobulin-like receptor subfamily A member 6,TimePoint:Group,20,0.754,0.015,0.9067990762124711
Leukocyte immunoglobulin-like receptor subfamily B member 3;Leukocyte immunoglobulin-like receptor subfamily A member 6,Group,20,0.118,0.13,0.2536265560165975
Leukocyte immunoglobulin-like receptor subfamily B member 3;Leukocyte immunoglobulin-like receptor subfamily A member 6,TimePoint,20,0.493,0.038,0.7691987951807229
Collagen alpha-3(VI) chain,TimePoint:Group,20,0.27,0.068,0.8057777777777778
Collagen alpha-3(VI) chain,Group,20,0.288,0.062,0.44399999999999995
Collagen alpha-3(VI) chain,TimePoint,20,0.372,0.047,0.7129667896678967
Immunoglobulin kappa variable 1-39;Immunoglobulin kappa variable 1D-39,TimePoint:Group,20,0.682,0.02,0.883950248756219
Immunoglobulin kappa variable 1-39;Immunoglobulin kappa variable 1D-39,Group,20,0.153,0.11,0.291375
Immunoglobulin kappa variable 1-39;Immunoglobulin kappa variable 1D-39,TimePoint,20,0.259,0.072,0.6537864077669904
Bleomycin hydrolase,TimePoint:Group,20,0.829,0.009,0.9461084598698482
Bleomycin hydrolase,Group,20,0.022,0.26,0.0856842105263158
Bleomycin hydrolase,TimePoint,20,0.65,0.022,0.8344137931034483
CD166 antigen,TimePoint:Group,20,0.206,0.087,0.8057777777777778
CD166 antigen,Group,20,0.768,0.005,0.8592311015118791
CD166 antigen,TimePoint,20,0.4,0.041,0.7323448275862069
Beta-2-microglobulin,TimePoint:Group,20,0.85,0.005,0.9463461538461538
Beta-2-microglobulin,Group,20,0.363,0.046,0.5223166666666667
Beta-2-microglobulin,TimePoint,20,0.475,0.035,0.7668277945619335
Amino acid transporter heavy chain SLC3A2,TimePoint:Group,20,0.268,0.068,0.8057777777777778
Amino acid transporter heavy chain SLC3A2,Group,20,0.706,0.008,0.8126844444444443
Amino acid transporter heavy chain SLC3A2,TimePoint,20,0.28,0.065,0.6622831050228312
Haptoglobin-related protein,TimePoint:Group,20,0.374,0.052,0.8057777777777778
Haptoglobin-related protein,Group,20,0.967,0.001,0.9802465753424657
Haptoglobin-related protein,TimePoint,20,0.695,0.017,0.8510874704491724
Alpha-1-acid glycoprotein 1,TimePoint:Group,20,0.156,0.103,0.8057777777777778
Alpha-1-acid glycoprotein 1,Group,20,0.02,0.267,0.0809375
Alpha-1-acid glycoprotein 1,TimePoint,20,0.058,0.161,0.3493488372093023
Serum paraoxonase/arylesterase 1,TimePoint:Group,20,0.036,0.185,0.8057777777777778
Serum paraoxonase/arylesterase 1,Group,20,0.679,0.01,0.7886143497757848
Serum paraoxonase/arylesterase 1,TimePoint,20,0.043,0.175,0.3453333333333333
Target of Nesh-SH3,TimePoint:Group,20,0.196,0.087,0.8057777777777778
Target of Nesh-SH3,Group,20,0.001,0.704,0.010791666666666668
Target of Nesh-SH3,TimePoint,20,0.167,0.095,0.5507848101265823
Intercellular adhesion molecule 1,TimePoint:Group,20,0.773,0.011,0.916279176201373
Intercellular adhesion molecule 1,Group,20,0.011,0.306,0.052759259259259256
Intercellular adhesion molecule 1,TimePoint,20,0.569,0.028,0.8031117166212534
Complement C4-A,TimePoint:Group,20,0.298,0.064,0.8057777777777778
Complement C4-A,Group,20,0.567,0.019,0.7072692307692308
Complement C4-A,TimePoint,20,0.327,0.058,0.7035826771653543
Coagulation factor XIII A chain,TimePoint:Group,20,0.175,0.092,0.8057777777777778
Coagulation factor XIII A chain,Group,20,0.001,0.474,0.010791666666666668
Coagulation factor XIII A chain,TimePoint,20,0.006,0.245,0.1554
Immunoglobulin mu heavy chain,TimePoint:Group,20,0.863,0.008,0.9522382978723405
Immunoglobulin mu heavy chain,Group,20,0.773,0.005,0.861105376344086
Immunoglobulin mu heavy chain,TimePoint,20,0.928,0.004,0.9481341222879685
Oncoprotein-induced transcript 3 protein,TimePoint:Group,20,0.238,0.077,0.8057777777777778
Oncoprotein-induced transcript 3 protein,Group,20,0.477,0.028,0.6236876574307304
Oncoprotein-induced transcript 3 protein,TimePoint,20,0.297,0.064,0.6770350877192982
Peroxiredoxin-2,TimePoint:Group,20,0.224,0.081,0.8057777777777778
Peroxiredoxin-2,Group,20,0.71,0.008,0.8154767184035476
Peroxiredoxin-2,TimePoint,20,0.28,0.065,0.6622831050228312
Tissue factor pathway inhibitor,TimePoint:Group,20,0.227,0.08,0.8057777777777778
Tissue factor pathway inhibitor,Group,20,0.001,0.545,0.010791666666666668
Tissue factor pathway inhibitor,TimePoint,20,0.187,0.09,0.5800359281437125
Progranulin,TimePoint:Group,20,0.265,0.071,0.8057777777777778
Progranulin,Group,20,0.051,0.195,0.14279999999999998
Progranulin,TimePoint,20,0.345,0.057,0.7035826771653543
Histone H2B type 1-K;Histone H2B type F-S,TimePoint:Group,20,0.562,0.025,0.8499367816091954
Histone H2B type 1-K;Histone H2B type F-S,Group,20,0.124,0.126,0.2600485829959514
Histone H2B type 1-K;Histone H2B type F-S,TimePoint,20,0.543,0.027,0.7841944444444444
Hemoglobin subunit delta,TimePoint:Group,20,0.949,0.001,0.9769744597249508
Hemoglobin subunit delta,Group,20,0.04,0.213,0.11976878612716764
Hemoglobin subunit delta,TimePoint,20,0.197,0.089,0.5974659090909091
Glutathione S-transferase P,TimePoint:Group,20,0.247,0.075,0.8057777777777778
Glutathione S-transferase P,Group,20,0.528,0.022,0.6687139364303178
Glutathione S-transferase P,TimePoint,20,0.502,0.03,0.7701238938053097
Annexin A6,TimePoint:Group,20,0.277,0.069,0.8057777777777778
Annexin A6,Group,20,0.602,0.015,0.7320093896713614
Annexin A6,TimePoint,20,0.064,0.147,0.3643076923076923
Complement factor H-related protein 1,TimePoint:Group,20,0.385,0.05,0.8057777777777778
Complement factor H-related protein 1,Group,20,0.319,0.055,0.47757803468208093
Complement factor H-related protein 1,TimePoint,20,0.597,0.026,0.8048923076923076
Protein KPLCE,TimePoint:Group,20,0.19,0.09,0.8057777777777778
Protein KPLCE,Group,20,0.232,0.078,0.3889190938511327
Protein KPLCE,TimePoint,20,0.692,0.018,0.8510874704491724
Immunoglobulin heavy variable 4-4,TimePoint:Group,20,0.978,0.001,0.9894609375
Immunoglobulin heavy variable 4-4,Group,20,0.27,0.067,0.4264024390243903
Immunoglobulin heavy variable 4-4,TimePoint,20,0.756,0.01,0.888
Alpha-1B-glycoprotein,TimePoint:Group,20,0.749,0.015,0.9067990762124711
Alpha-1B-glycoprotein,Group,20,0.966,0.001,0.9802465753424657
Alpha-1B-glycoprotein,TimePoint,20,0.055,0.154,0.3493488372093023
Properdin,TimePoint:Group,20,0.905,0.004,0.9588285714285715
Properdin,Group,20,0.07,0.17,0.1686511627906977
Properdin,TimePoint,20,0.189,0.09,0.5823668639053254
Immunoglobulin heavy variable 3-53,TimePoint:Group,20,0.248,0.074,0.8057777777777778
Immunoglobulin heavy variable 3-53,Group,20,0.057,0.187,0.1521958762886598
Immunoglobulin heavy variable 3-53,TimePoint,20,0.78,0.014,0.8945198237885462
Calmodulin-like protein 5,TimePoint:Group,20,0.488,0.033,0.8268076923076922
Calmodulin-like protein 5,Group,20,0.177,0.099,0.3228380281690141
Calmodulin-like protein 5,TimePoint,20,0.337,0.056,0.7035826771653543
Carboxypeptidase B2,TimePoint:Group,20,0.196,0.087,0.8057777777777778
Carboxypeptidase B2,Group,20,0.268,0.068,0.42584049079754605
Carboxypeptidase B2,TimePoint,20,0.286,0.067,0.6673333333333333
"Sushi, nidogen and EGF-like domain-containing protein 1",TimePoint:Group,20,0.606,0.018,0.8656793478260869
"Sushi, nidogen and EGF-like domain-containing protein 1",Group,20,0.002,0.411,0.01786206896551724
"Sushi, nidogen and EGF-like domain-containing protein 1",TimePoint,20,0.349,0.051,0.7082031249999999
Proteasome subunit alpha type-5,TimePoint:Group,20,0.252,0.074,0.8057777777777778
Proteasome subunit alpha type-5,Group,20,0.826,0.003,0.8876929460580912
Proteasome subunit alpha type-5,TimePoint,20,0.448,0.037,0.7539044585987261
Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 4,TimePoint:Group,20,0.316,0.061,0.8057777777777778
Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 4,Group,20,0.329,0.053,0.48831518624641834
Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 4,TimePoint,20,0.121,0.115,0.4677462686567164
Immunoglobulin heavy variable 3-9,TimePoint:Group,20,0.9,0.006,0.9588285714285715
Immunoglobulin heavy variable 3-9,Group,20,0.008,0.332,0.04455913978494624
Immunoglobulin heavy variable 3-9,TimePoint,20,0.066,0.141,0.3676129032258065
Neural cell adhesion molecule L1-like protein,TimePoint:Group,20,0.321,0.061,0.8057777777777778
Neural cell adhesion molecule L1-like protein,Group,20,0.001,0.492,0.010791666666666668
Neural cell adhesion molecule L1-like protein,TimePoint,20,0.903,0.005,0.9373827655310621
Proteasome subunit alpha type-2,TimePoint:Group,20,0.061,0.144,0.8057777777777778
Proteasome subunit alpha type-2,Group,20,0.484,0.028,0.62678
Proteasome subunit alpha type-2,TimePoint,20,0.162,0.096,0.5507848101265823
Intercellular adhesion molecule 3,TimePoint:Group,20,0.092,0.131,0.8057777777777778
Intercellular adhesion molecule 3,Group,20,0.002,0.431,0.01786206896551724
Intercellular adhesion molecule 3,TimePoint,20,0.026,0.199,0.3060909090909091
Receptor-type tyrosine-protein phosphatase eta,TimePoint:Group,20,0.219,0.081,0.8057777777777778
Receptor-type tyrosine-protein phosphatase eta,Group,20,0.001,0.676,0.010791666666666668
Receptor-type tyrosine-protein phosphatase eta,TimePoint,20,0.041,0.165,0.3453333333333333
ADAMTS-like protein 4,TimePoint:Group,20,0.277,0.069,0.8057777777777778
ADAMTS-like protein 4,Group,20,0.001,0.444,0.010791666666666668
ADAMTS-like protein 4,TimePoint,20,0.103,0.124,0.44094214876033055
Immunoglobulin lambda variable 3-21,TimePoint:Group,20,0.853,0.007,0.9463461538461538
Immunoglobulin lambda variable 3-21,Group,20,0.345,0.05,0.5034084507042254
Immunoglobulin lambda variable 3-21,TimePoint,20,0.926,0.003,0.9481341222879685
Cartilage oligomeric matrix protein,TimePoint:Group,20,0.96,0.002,0.9769744597249508
Cartilage oligomeric matrix protein,Group,20,0.001,0.597,0.010791666666666668
Cartilage oligomeric matrix protein,TimePoint,20,0.002,0.3,0.09418181818181819
Neural cell adhesion molecule 1,TimePoint:Group,20,0.29,0.064,0.8057777777777778
Neural cell adhesion molecule 1,Group,20,0.001,0.739,0.010791666666666668
Neural cell adhesion molecule 1,TimePoint,20,0.203,0.088,0.5974659090909091
Immunoglobulin lambda variable 2-11,TimePoint:Group,20,0.245,0.075,0.8057777777777778
Immunoglobulin lambda variable 2-11,Group,20,0.449,0.032,0.5933214285714286
Immunoglobulin lambda variable 2-11,TimePoint,20,0.354,0.056,0.71
Immunoglobulin kappa variable 1D-33;Immunoglobulin kappa variable 1-33,TimePoint:Group,20,0.268,0.071,0.8057777777777778
Immunoglobulin kappa variable 1D-33;Immunoglobulin kappa variable 1-33,Group,20,0.014,0.292,0.06417699115044248
Immunoglobulin kappa variable 1D-33;Immunoglobulin kappa variable 1-33,TimePoint,20,0.685,0.02,0.8488755980861244
Beta-2-glycoprotein 1,TimePoint:Group,20,0.83,0.008,0.9461084598698482
Beta-2-glycoprotein 1,Group,20,0.912,0.001,0.9429461077844312
