TimePoint,Group,contrast,estimate,std_error,df,t_ratio,p_value_raw,Contrast_Type,Cytokine,p_value_FDR,Significant_FDR
.,Male,X1hr - X2hrs,194.88691330360655,183.6711648723318,18.0,1.0610642853986947,0.30269094238534966,Within-Group,Tie-2,0.5513299307733154,False
X3min,.,Female - Male,-68.99459244898779,32.29480965265676,18.0,-2.1363987956904364,0.046632248634357054,Between-Group,Flt-1,0.1761662726186822,False
X1hr,.,Female - Male,-44.72849731748865,14.630939822288514,18.0,-3.0571171681910725,0.006786251230392951,Between-Group,Flt-1,0.052234312432407844,False
X2hrs,.,Female - Male,-35.628858841400074,12.331891834243214,18.0,-2.8891640731445447,0.009771329119363813,Between-Group,Flt-1,0.06236309156730471,False
.,Female,X3min - X1hr,45.523374538422175,17.10184831266579,18.0,2.6618979250743986,0.015884177531308757,Within-Group,Flt-1,0.08837378771964509,False
.,Female,X3min - X2hrs,47.1529758227891,20.465224279989698,18.0,2.304053704844755,0.03335329847781493,Within-Group,Flt-1,0.14791462803204883,False
.,Female,X1hr - X2hrs,1.629601284366931,6.8898732833451435,18.0,0.23652122721997776,0.8156988936228049,Within-Group,Flt-1,0.9328249062422815,False
.,Male,X3min - X1hr,69.7894696699213,17.10184831266579,18.0,4.080814447303603,0.0007015396181702517,Within-Group,Flt-1,0.014894787615550891,True
.,Male,X3min - X2hrs,80.51870943037682,20.465224279989698,18.0,3.9344161749111968,0.0009719461460478596,Within-Group,Flt-1,0.015794145813971514,True
.,Male,X1hr - X2hrs,10.72923976045551,6.8898732833451435,18.0,1.557247763379226,0.13681941223417002,Within-Group,Flt-1,0.3431700011775084,False
X3min,.,Female - Male,-9.504953885615926,7.7497597416341755,18.0,-1.2264836849782954,0.23581948328412516,Between-Group,MIP-1ß,0.49425179373248146,False
X1hr,.,Female - Male,-11.235157397607281,5.70334383786205,18.0,-1.9699246121234875,0.06443131028554766,Between-Group,MIP-1ß,0.20606384654672855,False
X2hrs,.,Female - Male,-9.328865526239762,7.004671209046342,18.0,-1.3318063400594429,0.1995435067901388,Between-Group,MIP-1ß,0.45229861539098126,False
.,Female,X3min - X1hr,4.37697841937506,4.839900242651775,18.0,0.9043530238087963,0.37775341826771813,Within-Group,MIP-1ß,0.6063299073620164,False
.,Female,X3min - X2hrs,4.518786403884861,4.128735160603383,18.0,1.0944723330775412,0.28817791003035426,Within-Group,MIP-1ß,0.5312195208993278,False
.,Female,X1hr - X2hrs,0.1418079845098008,3.5717692359071855,18.0,0.03970244860283739,0.9687673985065759,Within-Group,MIP-1ß,0.9839416461473521,False
.,Male,X3min - X1hr,2.646774907383705,4.839900242651775,18.0,0.5468655911663047,0.5911868930280983,Within-Group,MIP-1ß,0.7617872453772732,False
.,Male,X3min - X2hrs,4.6948747632610255,4.128735160603383,18.0,1.1371218013835758,0.2703990261673043,Within-Group,MIP-1ß,0.5063483029081349,False
.,Male,X1hr - X2hrs,2.0480998558773207,3.571769235907186,18.0,0.573413264017077,0.573460004857014,Within-Group,MIP-1ß,0.7467181339840266,False
X3min,.,Female - Male,-0.05873250074047498,0.2500961480465922,18.0,-0.23483968545382508,0.8169839048135015,Between-Group,IL-12p70,0.9328249062422815,False
X1hr,.,Female - Male,-0.0657528082483865,0.22564815912769878,18.0,-0.29139527883839583,0.7740803907819827,Between-Group,IL-12p70,0.9110330753049488,False
X2hrs,.,Female - Male,-0.08731069891801008,0.23957840261101376,18.0,-0.36443476526458934,0.7197794930831738,Between-Group,IL-12p70,0.85701371549981,False
.,Female,X3min - X1hr,-0.0063088011218766366,0.06203491575022408,18.0,-0.10169758507093399,0.9201210331672511,Within-Group,IL-12p70,0.9708863315488926,False
.,Female,X3min - X2hrs,-0.042456773048166946,0.07791471951487515,18.0,-0.5449133785312706,0.5925011908489902,Within-Group,IL-12p70,0.7617872453772732,False
.,Female,X1hr - X2hrs,-0.03614797192629031,0.04044809144402197,18.0,-0.8936879500561158,0.3832825472142831,Within-Group,IL-12p70,0.6063299073620164,False
.,Male,X3min - X1hr,-0.013329108629788158,0.06203491575022408,18.0,-0.21486462048979266,0.8322884354897686,Within-Group,IL-12p70,0.9363244899259897,False
.,Male,X3min - X2hrs,-0.07103497122570204,0.07791471951487515,18.0,-0.9117015586784002,0.37397486960653803,Within-Group,IL-12p70,0.6054831222201091,False
.,Male,X1hr - X2hrs,-0.057705862595913884,0.04044809144402197,18.0,-1.4266646592157695,0.1707925129724175,Within-Group,IL-12p70,0.39295119525984773,False
X3min,.,Female - Male,3760648.7021524375,1357975.4415658403,18.0,2.769305384356692,0.012640357427732648,Between-Group,CRP,0.07438364178627288,False
X1hr,.,Female - Male,2717084.859157702,1010236.7480151583,18.0,2.689552587050548,0.014980214945699268,Between-Group,CRP,0.08488788469229584,False
X2hrs,.,Female - Male,2407733.6953351144,1098447.7083115883,18.0,2.191942026112481,0.04177358021016365,Between-Group,CRP,0.16720785151521217,False
.,Female,X3min - X1hr,1161192.0287966703,902145.1531175177,18.0,1.2871454496917392,0.21434971624904725,Within-Group,CRP,0.4688019542591952,False
.,Female,X3min - X2hrs,1439697.1431092157,543267.3073084466,18.0,2.650071380591673,0.016286424965249804,Within-Group,CRP,0.08899367927440072,False
.,Female,X1hr - X2hrs,278505.1143125454,719560.927773227,18.0,0.3870486897814407,0.7032581657692769,Within-Group,CRP,0.8439097989231322,False
.,Male,X3min - X1hr,117628.18580193468,902145.1531175178,18.0,0.13038720586753721,0.8977062126289432,Within-Group,CRP,0.9638529861910758,False
.,Male,X3min - X2hrs,86782.1362918925,543267.3073084466,18.0,0.15974113502585732,0.8748638573915983,Within-Group,CRP,0.9636060907201054,False
.,Male,X1hr - X2hrs,-30846.049510042183,719560.927773227,18.0,-0.04286787722826921,0.9662788107735545,Within-Group,CRP,0.9839416461473521,False
X3min,.,Female - Male,-13.614004488096146,11.634982223125256,18.0,-1.1700924184514403,0.2572237291310268,Between-Group,IFN-<U+03B3>,0.5049245216774422,False
X1hr,.,Female - Male,-9.758156797619076,9.985925637896177,18.0,-0.9771910137791606,0.3414260667930127,Between-Group,IFN-<U+03B3>,0.5694977302192997,False
X2hrs,.,Female - Male,-10.557370278322662,11.276371357192518,18.0,-0.9362382582042893,0.36154279522889154,Between-Group,IFN-<U+03B3>,0.5947962115055958,False
.,Female,X3min - X1hr,-0.706567998253858,1.4052593880676159,18.0,-0.5028025461018023,0.6211994287337237,Within-Group,IFN-<U+03B3>,0.7790451852152436,False
.,Female,X3min - X2hrs,-1.4722384852902124,1.5166565620912107,18.0,-0.9707131608359948,0.34455540328558887,Within-Group,IFN-<U+03B3>,0.5699132616507578,False
.,Female,X1hr - X2hrs,-0.7656704870363544,1.4976624062688568,18.0,-0.5112437114208388,0.6153943819595021,Within-Group,IFN-<U+03B3>,0.775881394945692,False
.,Male,X3min - X1hr,3.149279692223212,1.4052593880676156,18.0,2.2410664671337397,0.037868179827203925,Within-Group,IFN-<U+03B3>,0.15873510996060822,False
.,Male,X3min - X2hrs,1.5843957244832723,1.5166565620912107,18.0,1.0446634815588447,0.3100058488730895,Within-Group,IFN-<U+03B3>,0.5539169626859315,False
.,Male,X1hr - X2hrs,-1.5648839677399398,1.4976624062688573,18.0,-1.0448843218536494,0.309906517471634,Within-Group,IFN-<U+03B3>,0.5539169626859315,False
X3min,.,Female - Male,-108.3679969480844,132.89590512309846,18.0,-0.8154351847613783,0.42548229216500666,Between-Group,VEGF-C,0.6289738232004446,False
X1hr,.,Female - Male,-123.99485835924966,106.74908066758128,18.0,-1.1615543439233174,0.26058839682485135,Between-Group,VEGF-C,0.5049245216774422,False
X2hrs,.,Female - Male,-15.3012143582275,85.56819337482287,18.0,-0.17881894842867688,0.8600771939909484,Between-Group,VEGF-C,0.9535638455117036,False
.,Female,X3min - X1hr,42.530316550119906,35.43028062295607,18.0,1.2003945721661478,0.24554637463357923,Within-Group,VEGF-C,0.5009146042525017,False
.,Female,X3min - X2hrs,34.74936070130171,49.1144087598564,18.0,0.7075186605871159,0.4883045355376877,Within-Group,VEGF-C,0.6872056598432218,False
.,Female,X1hr - X2hrs,-7.780955848818193,29.611887449742888,18.0,-0.26276460296642634,0.7957159848843625,Within-Group,VEGF-C,0.9223071642977837,False
.,Male,X3min - X1hr,26.90345513895464,35.43028062295607,18.0,0.759335084733235,0.4574819084678837,Within-Group,VEGF-C,0.660327660335719,False
.,Male,X3min - X2hrs,127.81614329115861,49.1144087598564,18.0,2.6024164093293325,0.01800764606118539,Within-Group,VEGF-C,0.0950058568055643,False
.,Male,X1hr - X2hrs,100.91268815220397,29.611887449742888,18.0,3.40784383715737,0.0031365401249155494,Within-Group,VEGF-C,0.031450441984854006,True
X3min,.,Female - Male,-0.4156384484954419,0.35191599520620137,18.0,-1.1810729098911887,0.25294477651999847,Between-Group,PlGF,0.5049245216774422,False
X1hr,.,Female - Male,-0.6979389395703645,0.3802554692962276,18.0,-1.8354474713068605,0.08301797385217362,Between-Group,PlGF,0.24193809522633455,False
X2hrs,.,Female - Male,-0.38107035573787973,0.3271638054757441,18.0,-1.1647692970918577,0.25931759556022504,Between-Group,PlGF,0.5049245216774422,False
.,Female,X3min - X1hr,0.43642111278412277,0.19956973046932158,18.0,2.186810152811278,0.04220222411860241,Within-Group,PlGF,0.16720785151521217,False
.,Female,X3min - X2hrs,0.7982587327302848,0.18859345768302296,18.0,4.2326957813772745,0.000500523681428446,Within-Group,PlGF,0.013923658774282227,True
.,Female,X1hr - X2hrs,0.36183761994616204,0.16584094957778373,18.0,2.1818351912924303,0.042621609209759964,Within-Group,PlGF,0.16720785151521217,False
.,Male,X3min - X1hr,0.15412062170920024,0.1995697304693216,18.0,0.7722645180046083,0.44997929757285693,Within-Group,PlGF,0.6525766116459442,False
.,Male,X3min - X2hrs,0.832826825487847,0.18859345768302296,18.0,4.4159900121647615,0.000333462159412878,Within-Group,PlGF,0.011337713420037853,True
.,Male,X1hr - X2hrs,0.6787062037786468,0.16584094957778373,18.0,4.092512769051144,0.0006835132368831968,Within-Group,PlGF,0.014894787615550891,True
X3min,.,Female - Male,-1.0637244391889622,0.9226117372625771,18.0,-1.1529491726878218,0.26401282179212665,Between-Group,IL-13,0.5049245216774422,False
X1hr,.,Female - Male,-0.9398177743608123,0.7755959657000991,18.0,-1.2117362852867302,0.24128087957522668,Between-Group,IL-13,0.4988645212839146,False
X2hrs,.,Female - Male,-0.9622762114993918,0.7664272186623412,18.0,-1.255535017635294,0.22533925955710712,Between-Group,IL-13,0.4821944994718516,False
.,Female,X3min - X1hr,0.028899266584628047,0.21656550559994972,18.0,0.13344353480748763,0.8953232102364312,Within-Group,IL-13,0.9638529861910758,False
.,Female,X3min - X2hrs,0.03190184492245923,0.2058796481835821,18.0,0.15495385388463692,0.8785820238918608,Within-Group,IL-13,0.9636060907201054,False
.,Female,X1hr - X2hrs,0.0030025783378311854,0.1689881964059261,18.0,0.01776797670896907,0.9860194215345064,Within-Group,IL-13,0.9884619267617833,False
.,Male,X3min - X1hr,0.15280593141277798,0.21656550559994972,18.0,0.7055875818702564,0.48947630767367056,Within-Group,IL-13,0.6872056598432218,False
.,Male,X3min - X2hrs,0.13335007261202964,0.2058796481835821,18.0,0.6477088618935364,0.5253493251154449,Within-Group,IL-13,0.7019951680581927,False
.,Male,X1hr - X2hrs,-0.01945585880074835,0.1689881964059261,18.0,-0.11513146607005309,0.9096155462962121,Within-Group,IL-13,0.9664665179397254,False
X3min,.,Female - Male,-138877.85902501267,66967.79606264773,18.0,-2.0738006503169637,0.05272210091901355,Between-Group,ICAM-1,0.18759259164207145,False
X1hr,.,Female - Male,-107466.85192274505,53410.2587481088,18.0,-2.012101316145568,0.059420974179638486,Between-Group,ICAM-1,0.19763932716271063,False
X2hrs,.,Female - Male,-155821.11988691433,53942.77999217943,18.0,-2.888637180165819,0.009782445736047798,Between-Group,ICAM-1,0.06236309156730471,False
.,Female,X3min - X1hr,89492.21216952047,34966.652391775184,18.0,2.5593588761894384,0.019710085460689322,Within-Group,ICAM-1,0.10222518899950733,False
.,Female,X3min - X2hrs,109221.2460036589,36768.70455094317,18.0,2.970494809038825,0.008194184668223354,Within-Group,ICAM-1,0.059599011290648624,False
.,Female,X1hr - X2hrs,19729.033834138427,23740.49416016281,18.0,0.8310287772882284,0.4168451406970274,Within-Group,ICAM-1,0.6235338303331527,False
.,Male,X3min - X1hr,120903.21927178811,34966.652391775184,18.0,3.4576721247764293,0.002808542508049853,Within-Group,ICAM-1,0.030295864327034863,True
.,Male,X3min - X2hrs,92277.98514175725,36768.70455094317,18.0,2.5096882326628007,0.021863013841302608,Within-Group,ICAM-1,0.1096734792694852,False
.,Male,X1hr - X2hrs,-28625.234130030854,23740.49416016281,18.0,-1.2057556147278843,0.24352304278506348,Within-Group,ICAM-1,0.5001211482699962,False
X3min,.,Female - Male,-0.32683797504002793,0.1684539121218823,18.0,-1.9402219332463424,0.06818342231685316,Between-Group,IL-10,0.2107487598884552,False
X1hr,.,Female - Male,-0.3699362942668217,0.17613758996854956,18.0,-2.100268854211506,0.05006402932007882,Between-Group,IL-10,0.18237610680885855,False
X2hrs,.,Female - Male,-0.2540844012621078,0.16947817854087907,18.0,-1.4992160256243328,0.15115205833298787,Between-Group,IL-10,0.3700202387991543,False
.,Female,X3min - X1hr,-0.033048232152573964,0.04867857591918288,18.0,-0.678907127592255,0.5058330106410331,Within-Group,IL-10,0.6938341224522534,False
.,Female,X3min - X2hrs,-0.062177866677248395,0.04901801331007165,18.0,-1.2684697416015596,0.22079069765391934,Within-Group,IL-10,0.4757884048035163,False
.,Female,X1hr - X2hrs,-0.02912963452467443,0.05871864126717977,18.0,-0.4960883613115238,0.6258351873448265,Within-Group,IL-10,0.7816553768470077,False
.,Male,X3min - X1hr,-0.07614655137936771,0.04867857591918288,18.0,-1.564272371192364,0.13516414516049538,Within-Group,IL-10,0.3429078479731332,False
